# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	7179
#@/user_id	ff85f8fa-9b37-4781-86d8-a82aef9341bf
a 	啊	c=21 d=1.40163 t=7179
chu yi 	除以	c=1 d=1.12612e-15 t=7179
chu yu 	處於	c=2 d=1.98511 t=4144
chu zai 	處在	c=3 d=2.72053e-06 t=7179
chu zhi 	處置	c=1 d=1.36459e-10 t=7179
chuan 	傳	c=2 d=1.7823e-08 t=7179
chuan bo 	傳播	c=0 d=6.24132e-15 t=7179
chuan gan qi 	傳感器	c=2 d=1.28089e-13 t=7179
chuan hui 	傳回	c=1 d=3.30693e-12 t=7179
chuan qiang 	穿牆	c=1 d=1.81488e-12 t=7179
chuan yue 	穿越	c=0 d=0.0135335 t=7179
chuang kou 	窗口	c=3 d=1.00006 t=3136
chuang kou guan li qi 	窗口管理器	c=1 d=1 t=1286
chuang xin 	創新	c=0 d=0.1 t=2395
chuang xin xue fen 	創新學分	c=1 d=1 t=2396
chui zhi 	垂直	c=1 d=1 t=3135
chui zi 	錘子	c=1 d=0.0562537 t=7179
chui zi ke ji 	錘子科技	c=1 d=0.0366992 t=7179
chun 	純	c=1 d=1 t=1208
chun bing 	春餅	c=1 d=1 t=2428
chun cui 	純粹	c=2 d=2.99072e-07 t=7179
chun gao 	脣膏	c=1 d=1 t=2370
chun jie qian 	春節前	c=1 d=1 t=1485
chun se 	純色	c=2 d=1.00904e-07 t=7179
ci 	次	c=2 d=1.42081e-08 t=7179
ci 	此	c=25 d=0.178173 t=7179
ci 	詞	c=1 d=0.00675424 t=7179
ci chu 	此處	c=3 d=0.00119346 t=7179
ci ci 	此次	c=1 d=1 t=288
ci diao 	辭掉	c=1 d=0.145148 t=7179
ci duan 	此段	c=1 d=8.09042e-08 t=7179
ci fang 	次方	c=1 d=1.74342e-10 t=7179
ci fang fa 	此方法	c=1 d=1 t=1393
ci hui 	詞彙	c=3 d=4.46732e-08 t=7179
ci ji 	刺激	c=1 d=0.064894 t=7179
ci ku 	詞庫	c=16 d=0.00076545 t=7179
ci lei 	此類	c=3 d=1.22147e-13 t=7179
ci pan 	磁盤	c=4 d=1.68963 t=2166
ci shi 	此時	c=1 d=1.03685e-14 t=7179
ci wei 	此爲	c=2 d=7.5227e-05 t=7179
ci wen dang 	此文檔	c=1 d=9.16921e-10 t=7179
